                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7251,                 3.1935,                 1.6476,                0.61199,                0.05236,                0.15185,                0.06041,                 1.5902,                 3.0258,                 1.6499,             0.00046865,             0.00046865,             0.00046865
                      2,                 1.6693,                 2.6427,                 1.6451,                0.15026,                0.25111,                0.10547,                0.03411,                 2.1543,                 3.3551,                  2.396,             0.00094187,             0.00094187,             0.00094187
                      3,                 1.7381,                 2.4489,                 1.6782,                0.42815,                0.25045,                0.23781,                0.08896,                 1.8174,                  2.762,                 1.9107,              0.0014119,              0.0014119,              0.0014119
                      4,                 1.7294,                 2.3772,                 1.7064,                0.42548,                0.30698,                0.30146,                0.11875,                 1.8643,                 2.3938,                 1.9265,              0.0014149,              0.0014149,              0.0014149
                      5,                 1.7013,                 2.1396,                 1.6764,                0.26494,                0.38628,                0.26507,                0.11185,                 2.0083,                  3.405,                 2.1569,              0.0014149,              0.0014149,              0.0014149
                      6,                  1.685,                 1.9912,                 1.6535,                 0.2743,                0.35317,                0.24295,                 0.1056,                 1.7894,                 2.7552,                 1.8684,              0.0014101,              0.0014101,              0.0014101
                      7,                 1.6474,                 1.9043,                 1.6236,                0.42183,                0.37006,                0.38461,                0.16944,                  1.854,                 2.2037,                 1.8793,              0.0014054,              0.0014054,              0.0014054
                      8,                 1.6432,                 1.8039,                 1.5829,                0.41834,                0.44828,                0.39171,                0.17957,                  1.809,                 2.1942,                  1.803,              0.0014007,              0.0014007,              0.0014007
                      9,                 1.5993,                 1.7442,                 1.5751,                0.33371,                0.42329,                0.29257,                0.11814,                 1.8892,                 2.5459,                  1.948,               0.001396,               0.001396,               0.001396
                     10,                 1.5716,                 1.6898,                  1.562,                0.33652,                0.48984,                0.33878,                0.14231,                 1.7425,                 2.2542,                 1.7875,              0.0013913,              0.0013913,              0.0013913
                     11,                 1.5443,                 1.6462,                 1.5435,                0.45883,                0.51885,                0.45005,                 0.1919,                 1.7437,                 1.9848,                  1.843,              0.0013866,              0.0013866,              0.0013866
                     12,                 1.5301,                 1.5254,                 1.5225,                0.58558,                0.46369,                0.44112,                0.21589,                 1.6803,                 2.2521,                 1.7538,              0.0013818,              0.0013818,              0.0013818
